branch_id,bank_name,name,address,phone_number,manager
0,"Carrillo, Stevens and Kemp Bank",Smith Trafficway Branch,"556 Cooper Way, Kellyfurt, WV 54437",868.683.3268,Brian Rogers
1,Green Group Bank,Tara Lock Branch,"0521 Peck Crest Apt. 474, South Stevenmouth, AR 39800",001-237-503-9217,Angelica Ramirez
2,"Baker, Browning and Ingram Bank",Kristie Extension Branch,"19902 Benjamin Shores Apt. 416, North Lisa, FL 92571",(920)399-3116x6454,Cory Abbott
3,"Price, Wong and Calderon Bank",Cole Mountains Branch,"450 Zachary Squares, Amyberg, IN 31241",001-737-532-0806x022,Christine Morrison MD
4,Johnson Ltd Bank,Best Plaza Branch,"35972 Ruiz Forge Apt. 839, Port Aaron, MI 43639",+1-696-249-1073x86603,Claudia Fry
5,Hill-Rose Bank,Felicia Parkways Branch,"55892 Hoffman Pine Suite 943, New Rebekahhaven, SC 15303",628-319-4771x50225,Phyllis Clark
6,Vance PLC Bank,Lloyd Ramp Branch,"52132 Houston Field Apt. 382, Martinezton, MD 40549",714.532.8199x58080,Courtney Hopkins
7,Summers Inc Bank,Robin Port Branch,"62484 Gail Glen, Derrickchester, NH 18404",771.643.1115x2841,Steven Rodriguez
8,Contreras Inc Bank,Joseph Plains Branch,"00692 Patrick Grove Apt. 683, Manningborough, NY 80665",753-705-3214x0698,Abigail Mullins
9,Mendez-Stewart Bank,Lindsey Landing Branch,"Unit 4246 Box 4806, DPO AP 84935",+1-730-281-6076x140,Terri Ruiz
10,Roach-Juarez Bank,Osborne Pike Branch,"23734 Williams Villages Suite 733, Greenfort, ID 47957",001-470-235-1491x80571,James Edwards
11,Nelson Inc Bank,West Spurs Branch,"8434 Jackson Garden, Warrenshire, KS 55721",963.567.2579x7554,Rachel James
12,Owens-Day Bank,Sheryl Parks Branch,"USCGC Miranda, FPO AP 68856",331-755-7351x9687,Michael Shaffer
13,Mejia LLC Bank,Shepard Shoal Branch,"1163 Angela Street, New Karenberg, KY 71552",567-584-7216,Jessica Thornton
14,"Kelly, Davis and Torres Bank",Gonzalez Brook Branch,"190 Richard Ports, East Christopher, HI 24193",001-876-565-8892x103,Anna Franklin
15,"Lloyd, Vazquez and Reyes Bank",Charles Rest Branch,"784 Douglas Locks, East Anthony, MA 50311",9107613748,Natasha Reid MD
16,"Lawrence, Wilson and Clay Bank",Rasmussen Mount Branch,"68053 Ritter Fall Apt. 474, Leebury, SD 45372",001-538-289-4909,Gabriela Gonzales
17,Williams Group Bank,Jesse Field Branch,"16380 Jared Pike Apt. 863, Amyberg, IN 10829",+1-542-327-4853,Taylor Richardson
18,Beard LLC Bank,Martinez Divide Branch,"581 Brandon Ville Apt. 359, New Michael, GU 83837",+1-406-970-3707x30830,Justin Underwood
19,White-Martin Bank,Tiffany Ways Branch,"902 Tammy Corners, Miguelland, PA 01303",+1-839-394-1775x050,James Harrison
20,Williams-Adams Bank,Huff Greens Branch,"78463 Patricia Overpass Suite 457, Williamston, OR 27487",001-875-750-1366x7389,Jessica Valencia
21,Ramos-Nelson Bank,Montes Underpass Branch,"992 Miranda Court Apt. 964, Lake Christopherhaven, VI 64503",381-817-1815,Krystal Williams
22,"Chambers, Huerta and Barker Bank",Warren Mills Branch,"4175 Morris Crossroad, Lake Becky, AS 68407",001-594-548-7884x22232,David King
