loan_id,cust_id,principal,interest_rate,period,paid,EMI
1,2058,103343.84,8.27,76,77190.4,1751.41
2,787,208040.52,11.85,128,115668.27,2870.39
3,974,372179.76,13.23,343,297403.98,4201.01
4,1289,36384.8,14.13,323,7444.54,438.43
5,126,312231.31,14.81,75,6021.61,6406.78
6,1722,152728.63,12.6,269,151023.03,1706.41
7,2592,209014.71,9.3,138,29621.84,2471.56
8,1567,335413.88,3.8,111,157640.38,3588.6
9,1235,120624.12,5.0,185,77409.39,936.58
10,82,162827.75,5.25,172,73229.31,1349.09
11,2473,150274.61,11.57,25,38421.04,6793.3
12,2446,337882.58,12.57,216,281768.36,3955.92
13,454,349483.36,4.17,286,193201.85,1930.12
14,1458,484014.57,7.26,182,337302.32,4394.26
15,2799,379543.45,8.17,287,282002.19,3014.0
16,515,367012.14,13.16,306,227394.66,4173.15
17,2560,471056.56,11.88,298,204984.57,4924.94
18,2019,250481.78,8.7,272,147918.64,2112.04
19,1278,181434.24,11.95,220,64042.39,2037.06
20,1319,246733.31,3.87,311,195725.2,1257.81
21,574,128892.07,6.16,72,117877.09,2145.86
22,949,103384.76,13.81,85,96761.27,1913.12
23,271,77832.87,6.77,242,60936.03,590.43
24,2527,397872.01,10.41,50,198949.37,9841.51
25,2264,365479.77,7.99,351,186675.83,2695.97
26,916,90024.89,13.51,286,71116.34,1056.51
27,2636,319294.06,11.33,255,311470.98,3316.65
28,1236,102111.46,10.55,215,45282.32,1059.01
29,1541,215192.3,6.87,128,16008.75,2376.34
30,1471,175353.6,5.19,345,26923.1,979.37
31,1403,298730.67,13.97,277,29328.55,3624.57
32,1969,198338.98,5.29,250,175238.86,1310.83
33,851,486163.59,8.67,206,393587.65,4543.77
34,1352,79925.06,4.22,288,53229.67,441.83
35,1554,399927.81,4.82,169,210338.17,3264.38
36,13,416493.85,11.48,290,268851.04,4253.35
37,877,448684.51,9.9,312,190142.63,4010.62
38,2087,396616.51,14.05,62,345803.5,9033.16
39,2038,492967.85,11.65,15,273076.02,35474.52
40,1225,324598.06,14.87,65,261082.82,7301.35
41,1573,418347.8,5.62,316,143901.13,2539.35
42,1521,297665.78,12.46,340,28061.95,3185.81
43,1281,225553.06,3.97,91,121423.51,2874.47
44,2928,461546.7,13.21,201,343465.15,5713.57
45,2891,195409.92,8.6,32,97934.16,6855.28
46,120,210835.36,8.03,209,68739.45,1876.38
47,2055,173247.75,9.3,38,169651.88,5280.91
48,1668,66621.25,14.87,99,22524.58,1171.75
49,241,432591.75,14.34,55,355878.61,10776.42
50,78,278197.02,7.28,19,175556.69,15546.34
51,2917,96639.2,10.63,353,82792.1,895.89
52,1291,419885.72,6.39,237,166848.71,3122.88
53,746,305594.46,12.71,169,23122.1,3892.86
54,1248,436913.78,7.04,320,171034.12,3029.24
55,2363,313499.19,5.4,316,27767.44,1861.15
56,2792,433707.21,7.99,328,299939.32,3257.18
57,2443,34339.96,12.82,174,7452.58,435.39
58,2422,362779.34,5.25,293,320633.66,2199.18
59,1977,108935.97,13.1,175,31320.82,1398.35
60,717,221119.07,8.97,270,83985.82,1908.38
61,2997,139775.99,6.3,72,74523.22,2336.34
62,1167,83124.83,10.97,63,61367.94,1741.52
63,857,27921.01,3.67,128,17675.46,263.94
64,1891,367686.47,5.11,140,123311.7,3491.95
65,2299,164449.54,4.45,256,28118.5,995.94
66,1350,443699.45,7.23,291,366860.6,3236.9
67,2856,488968.14,12.27,42,278278.19,14378.85
68,1983,411466.33,4.33,162,147665.35,3358.64
69,1873,343921.59,9.18,239,310110.69,3138.87
70,1164,316471.61,12.96,305,214229.7,3552.04
71,1054,221913.05,6.55,172,130615.26,1992.5
72,156,388418.89,13.87,295,234712.16,4646.06
73,2973,367028.29,10.71,265,144420.99,3619.3
74,2829,254292.04,13.51,67,251632.22,5425.48
